id,ext,agr,con,ner,open,about,activities,books,city,followers_count,friends_count,groups,interests,is_closed,movies,music,quotes,relation,sex,status,tv,video_count,wall_count
529875516,0.7,0.73,0.77,0.6,0.77,0,0,0,398,70.0,108.0,180,0,0,0,0,0,0.0,1,1,0,182.0,12.0
379473175,0.6,0.83,0.77,0.67,0.67,0,0,0,1515864,58.0,664.0,74,0,0,0,0,0,0.0,1,24,0,23.0,172.0
571894239,0.63,0.87,0.63,0.7,0.63,0,0,0,10,0.0,17.0,1,0,0,0,0,0,0.0,2,0,0,0.0,0.0
536592784,0.93,0.97,0.83,0.83,0.97,0,0,0,99,4.0,87.0,24,0,0,0,0,0,5.0,1,10,0,8.0,32.0
401719339,0.73,0.67,0.77,0.4,0.7,0,0,0,1488,11.0,164.0,9,0,0,0,0,0,0.0,1,35,0,10.0,332.0
401719339,0.73,0.67,0.77,0.4,0.7,0,0,0,1488,11.0,164.0,9,0,0,0,0,0,0.0,1,35,0,10.0,332.0
401719339,0.73,0.67,0.77,0.4,0.7,0,0,0,1488,11.0,164.0,9,0,0,0,0,0,0.0,1,35,0,10.0,332.0
401719339,0.97,0.6,0.53,0.53,0.67,0,0,0,1488,11.0,164.0,9,0,0,0,0,0,0.0,1,35,0,10.0,332.0
401719339,0.97,0.6,0.53,0.53,0.67,0,0,0,1488,11.0,164.0,9,0,0,0,0,0,0.0,1,35,0,10.0,332.0
401719339,0.97,0.6,0.53,0.53,0.67,0,0,0,1488,11.0,164.0,9,0,0,0,0,0,0.0,1,35,0,10.0,332.0
401719339,0.67,0.33,0.5,0.73,0.8,0,0,0,1488,11.0,164.0,9,0,0,0,0,0,0.0,1,35,0,10.0,332.0
401719339,0.67,0.33,0.5,0.73,0.8,0,0,0,1488,11.0,164.0,9,0,0,0,0,0,0.0,1,35,0,10.0,332.0
401719339,0.67,0.33,0.5,0.73,0.8,0,0,0,1488,11.0,164.0,9,0,0,0,0,0,0.0,1,35,0,10.0,332.0
551280172,0.73,0.77,0.63,0.8,0.93,0,0,0,4834,4.0,30.0,102,0,0,0,0,0,0.0,2,54,0,13.0,1.0
549088988,0.67,0.77,0.67,0.77,0.77,0,0,0,0,7.0,19.0,14,0,0,0,0,0,0.0,1,60,0,5.0,0.0
558472788,0.8,0.87,0.8,0.73,0.77,0,0,0,64,0.0,0.0,0,0,1,0,0,0,0.0,1,0,0,0.0,0.0
119641953,0.5,0.73,0.5,0.87,0.87,0,0,0,0,9.0,81.0,110,0,0,0,0,0,0.0,2,0,0,5.0,10.0
168155140,0.53,0.73,0.77,0.6,0.67,0,0,0,56,4.0,0.0,1,0,0,0,0,0,0.0,1,0,0,0.0,0.0
96558166,0.5,0.47,0.7,0.83,0.63,0,0,0,60,134.0,1427.0,26,0,0,0,0,0,0.0,2,1,0,2.0,2.0
537443312,0.5,0.57,0.37,0.53,0.73,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0.0,1,0,0,0.0,0.0
495186007,0.63,0.8,0.63,0.9,0.73,0,0,0,0,13.0,58.0,54,0,0,0,0,0,0.0,1,0,0,2.0,21.0
189660783,0.57,0.7,0.53,0.73,0.7,0,0,0,0,518.0,100.0,1243,0,0,0,0,0,0.0,1,0,0,277.0,0.0
519976451,0.57,0.7,0.6,0.43,0.53,0,0,1,0,37.0,58.0,27,1,0,0,0,0,0.0,1,4,46,0.0,5.0
387697082,0.63,0.8,0.7,0.63,0.63,0,0,0,64,55.0,100.0,185,0,0,0,0,0,0.0,1,130,0,32.0,4.0
361362704,0.73,0.93,0.6,0.83,0.57,0,0,0,0,41.0,62.0,32,0,0,0,0,0,0.0,2,11,0,16.0,3.0
385588909,0.67,0.83,0.77,0.73,0.8,0,0,0,136,179.0,136.0,870,0,0,0,0,0,0.0,2,12,0,77.0,341.0
442864057,0.67,0.77,0.6,0.83,0.73,111,3,1,51,44.0,406.0,46,2,0,3,1,65,0.0,2,63,0,34.0,261.0
499844131,0.33,0.83,0.7,0.87,0.73,0,0,0,0,50.0,11.0,164,0,0,0,0,0,0.0,2,89,0,224.0,34.0
560145519,0.73,0.97,1.0,0.9,0.97,0,0,0,2225,2.0,23.0,1,0,0,0,0,0,0.0,2,0,0,3.0,1.0
472792191,0.83,0.8,0.8,0.73,0.83,0,0,0,0,30.0,0.0,56,0,0,0,0,0,0.0,2,10,0,100.0,18.0
472792191,0.83,0.8,0.8,0.73,0.83,0,0,0,0,30.0,0.0,56,0,0,0,0,0,0.0,2,10,0,100.0,18.0
472792191,0.53,0.63,0.6,0.67,0.77,0,0,0,0,30.0,0.0,56,0,0,0,0,0,0.0,2,10,0,100.0,18.0
472792191,0.53,0.63,0.6,0.67,0.77,0,0,0,0,30.0,0.0,56,0,0,0,0,0,0.0,2,10,0,100.0,18.0
190134328,0.6,0.67,0.47,0.87,0.77,0,0,0,182,0.0,0.0,0,0,1,0,0,0,0.0,1,45,0,0.0,0.0
513181420,0.7,0.73,0.77,0.73,0.77,0,0,0,1094848,1.0,66.0,32,0,0,0,0,0,0.0,2,4,0,7.0,9.0
556352189,0.8,0.67,0.77,0.87,0.87,0,0,0,1,4.0,26.0,15,0,0,0,0,0,0.0,1,0,0,20.0,58.0
310977740,0.53,0.5,0.7,0.73,0.73,5,0,0,0,14.0,52.0,40,0,0,0,0,0,2.0,2,34,0,388.0,422.0
471434721,0.57,0.7,0.73,0.77,0.63,0,0,0,5470025,9.0,26.0,7,0,0,0,0,0,0.0,2,0,0,0.0,5.0
425970042,0.63,0.33,0.33,0.87,0.67,1,0,0,0,15.0,31.0,24,0,0,0,0,0,0.0,2,9,0,46.0,40.0
521404864,0.7,0.77,0.7,0.8,0.77,0,0,0,972,243.0,271.0,361,0,0,0,0,0,0.0,1,12,0,43.0,323.0
276436989,0.5,0.63,0.53,0.8,0.73,0,0,0,157,44.0,194.0,53,0,0,0,0,0,0.0,1,8,0,10.0,25.0
